标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
东泰禾附近 保利香槟国际 大3房 精装 采光好,249,27673,保利香槟国际,晋安,3,89.98,南北,2018,"['南北', '房东直卖', '满五年', '近地铁']"
东方公寓 居家装修 西端头,187,20758,东方公寓,晋安,3,90.09,南北,2001,"['南北', '满二年', '近地铁']"
福州南二环 精装修30万 入住半年出售,220,24958,水晶榕著,仓山,3,88.15,南北,2020,"['南北', '有电梯', '车位充足']"
新榕金城湾 ，品质社区，2梯3户，高层端头大3房，南北通透双,339,23982,新榕金城湾,仓山,3,141.36,南北,2015,"['南北', '满二年', '近地铁']"
房东急售！阳光凡尔赛宫精装大三房！小高层价格美丽！,360,30660,阳光凡尔赛宫B区,台江,3,117.42,南北,2016,"['南北', '近地铁', '车位充足']"
白湖亭万达！ 融创福州府 ！端头大三房 ！南北通透,259,24089,融创福州府C区,仓山,3,107.52,南北,2019,"['南北', '唯一住房', '近地铁', '次新房']"
新出急售。上海新苑 电梯高层，精装3房 采光很好领包入住哦,210,23287,上海新苑,台江,3,90.18,南北,2014,"['南北', '满二年', '近地铁']"
宝龙.万象 私家露台好房 05年商品房 精装修 视野无遮挡,210,22162,时代名城,台江,3,94.76,南北,2005,"['南北', '近地铁']"
紫阳地铁口，精装电梯三房，东南向，采光视野无遮挡。,255,24286,世欧王庄一区,晋安,3,105,东南,2014,"['东南', '满二年', '近地铁']"
长春花园 商品房 出行方便 有电梯 满五 正南朝向,210,22341,长春花园,鼓楼,3,94,南,1998,"['南', '满五年', '近地铁']"
省体旁，福飞路，体工队宿舍，东端头，大三房，南北通透，亮厅,186,20899,省体宿舍,鼓楼,3,89,东南,1998,"['东南', '满五年', '近地铁']"
罗汉山地铁口 鲁能公馆一期 精装3房 采光好拎包入住！！！,233,26653,鲁能公馆一期,晋安,3,87.42,南北,2018,"['南北', '满二年', '近地铁', '次新房']"
新到！三坊七巷，驿里直街，贴砖社区，西峰小， ，居家3房,298,30409,驿里新村,鼓楼,3,98,南北,1999,"['南北', '满五年', '近地铁']"
华润橡树湾丨业主狠急售丨仅276万丨全景流花溪丨价格空间狠大,260,21980,华润橡树湾,仓山,3,118.29,南北,2015,"['南北', '满五年']"
台江万达 鳌峰洲公交总站华伦旁 鳌祥佳园低总价三房看房随时,188,20660,鳌祥佳园光明港一期北岸,台江,3,91,南北,2016,"['南北', '满二年', '近地铁']"
价格可谈，中低层，满二年，房东配合看房，精装修三房两卫,190,21591,中海寰宇天下,闽侯,3,88,南,2016,"['南', '满二年', '近地铁']"
新出金山芯，龙湖天序，端头全明户型，送200平大露台,198,22183,龙湖兰园天序,仓山,3,89.26,南北,2022,"['南北', '近地铁', '次新房']"
东泰禾 榕发观湖郡 电梯高层三房 南北通透 阳台5米长,305,34343,榕发观湖郡,晋安,3,88.81,南北,2022,"['南北', '唯一住房', '近地铁', '车位充足']"
临近罗汉山地铁口丨纯商品房丨南北通透丨业主居家装修丨拎包住,185,20083,东方高尔夫花园(A区),晋安,2,92.12,南北,2007,"['南北', '满五年', '近地铁']"
询价私聊！省体钱塘屏东分校，端头框架3房，宜居层，通透好停车,215,22632,琴亭路58号小区,鼓楼,3,95,东南,2002,"['东南', '满五年', '近地铁']"
近省体 次新房 鲁能公馆 带超大外阳台 纯毛坯 随时可看,285,24749,鲁能公馆二期,晋安,3,115.16,南,2020,"['南', '满二年', '近地铁', '车位充足']"
鼓楼左海公园对面，商品房梅海园，居家三房，南北通透，双阳台,225,21677,梅海园,鼓楼,3,103.8,南北,2002,"['南北', '满五年', '近地铁', '多人关注']"
急售！杨桥新苑，四号地铁口，次新社区，停车方便，电梯3房,293,31506,杨桥新苑,鼓楼,3,93,南北,2016,"['南北', '唯一住房', '近地铁']"
东泰禾 保利香槟国际 电梯单身公寓 满两年 诚意出售,151,33093,保利香槟国际,晋安,1,45.63,南,2016,"['南', '满二年', '近地铁']"
新出，鼓楼左海铜盘，五凤山庄，亮厅三房，南北通透，商品房社区,218,23957,五凤山庄,鼓楼,3,91,南北,2005,"['南北', '满五年']"
三盛上东区 电梯高层 精装3房 不沿街 社区中心 南北通透,313,23272,三盛国际公园上东区,晋安,3,134.5,南北,2014,"['南北', '满二年', '近地铁']"
临近二附 小 延安 中 协和南门兜华信花园 南北通透居家3房,229,22041,华信花园,台江,3,103.9,南北,2001,"['南北', '满五年', '近地铁']"
南国金辉，金山核心商圈，浦上大道，带装修三房，可直接入住,210,20357,南国金辉,仓山,3,103.16,东南,2006,"['东南', '房东直卖', '满二年', '近地铁']"
泰禾边 新社区 天空之城天玺 电梯高层精装三房 总价188万,188,23326,天空之城天玺,晋安,3,80.6,南,2020,"['南', '有电梯', '次新房']"
金城湾电梯高层东端头，纯毛坯，视野好，近地铁，好社区。,295,24969,新榕金城湾,仓山,3,118.15,东南,2018,"['东南', '满五年', '近地铁', '次新房']"
三叉街！电梯大3房，地铁口，商品房，怡美嘉园，麦德龙，步行街,259,22522,怡美嘉园一期,仓山,3,115,南北,2003,"['南北', '满二年', '近地铁']"
万达 浦上大道] 精装修 正祥一品一期新筑 拎包,238,22291,正祥一品新筑,仓山,3,106.77,南北,2008,"['南北', '满二年', '近地铁', '多人关注']"
上渡刚需小钢炮，楼梯中层，装修真实，南北通透，采光很亮,109,22709,南台新苑茶花园,仓山,2,48,南北,2005,"['南北', '满五年']"
三D铁环绕 福州唯 一 双D铁社区价格调整！两条地铁,201,21201,首开国仕府,仓山,3,94.81,南北,2020,"['南北', '满二年', '近地铁', '次新房']"
真实新报！福新路，地铁，华侨小 ，低总价2房，中层,165,20625,福建省轻工业安装公司宿舍,鼓楼,2,80,南北,1995,"['南北', '满二年', '近地铁']"
准电梯房，单价18700，总价169.鼓楼，鼓5闽附大3房,179,20575,华翔新村,鼓楼,3,87,南北,1998,"['南北', '满五年', '近地铁', '多人关注']"
柳河路省委党校旁，框架三房并排朝南，楼层好，总价低,215,21939,兴园新村,鼓楼,3,98,南北,2000,"['南北', '满五年', '近地铁']"
温泉小，福寿花园，精装三房，小区环境清楚，近距离温泉小,350,37635,福寿花园,鼓楼,3,93,南北,1996,"['南北', '满二年', '近地铁']"
河南新村 正南朝向 楼层好 近医院 正规商品房 临地铁,160,24428,河南新村,鼓楼,2,65.5,南,1998,"['南', '满二年', '近地铁']"
双杭城朗庭二期 3房2厅2卫 纯商品房高层朝南 308万报价,308,36236,融信双杭城朗庭二期,台江,3,85,南北,2021,"['南北', '有电梯', '近地铁', '次新房']"
新出，浦上大道精装现房，全新未入住，南北通透无遮挡，看房接送,210,23959,福晟钱隆府,仓山,3,87.65,南北,2022,"['南北', '唯一住房', '近地铁', '车位充足']"
仓山万达广场住宅区新社区简装南北通透 三房出售,185,21467,仓山万达广场B1区,仓山,3,86.18,南,2010,"['南', '满二年', '近地铁']"
三坊七巷旁，精装3房，端头户型，达明小， ，双抛，达明,320,30189,达明新村,鼓楼,3,106,南北,2000,"['南北', '近地铁']"
近医院 临地铁 满二 南北通透 中间好楼层 商圈成熟,359,39022,信托贸易公司宿舍,鼓楼,3,92,南北,2000,"['南北', '满二年', '近地铁']"
傲梅苑 楼梯2楼 南北通透户型 南北各有阳台 一手跟单,300,23438,傲梅苑,仓山,3,128,南北,2002,"['南北', '满二年', '近地铁']"
三盛国际公园香缇时光二期 临地铁 装修好 正规商品房,243,20949,三盛国际公园香缇时光二期,晋安,3,116,南北,2020,"['南北', '满二年', '近地铁', '次新房']"
新到！八大园之长寿园 电梯自住精装南北双阳台三房 拎包入住,233,20804,义洲新区长寿园,台江,3,112,南北,2005,"['南北', '满二年', '近地铁']"
东街口 接送鼓二 框架三房 端头户型 采光足 停车方便,335,35301,竹林境新村,鼓楼,3,94.9,南北,2000,"['南北', '满五年', '近地铁']"
霞镜新城三区万达地铁口方正3房,223,21144,霞镜新城三区,仓山,3,105.47,南北,2020,"['南北', '有电梯', '近地铁', '次新房']"
降价，鼓五小闽附中，电梯大2房，端头全明，居家装修，可拎包住,210,23864,皇岛中环,鼓楼,2,88,西南,2004,"['西南', '满五年', '近地铁']"
六一路金鸡山下龙湖正荣悦榕府毛胚3房,209,23481,正荣悦榕府,晋安,3,89.01,南北,2021,"['南北', '有电梯', '近地铁', '次新房']"
（降价急售）恒宇国际公园 三房两卫 看房方便,235,24358,恒宇国际公园,晋安,3,96.48,南,2013,"['南', '有电梯', '近地铁']"
五凤兰庭七期 得房好 小三房 南北通透 产权清晰 近医院,199,24269,五凤兰庭七期,鼓楼,3,82,南北,2004,"['南北', '满二年', '车位充足']"
晋安紫阳地铁口旁，电梯中层三房， 5东华苑，视野好通透,209,20345,东华苑,晋安,3,102.73,南北,2003,"['南北', '满五年', '近地铁']"
保利香槟对面鹤林新城 居家三房 东端大三房 业主诚意售,190,20857,鹤林新城,晋安,3,91.1,东,2008,"['东', '满二年', '近地铁']"
金山桔园二期泰园 3室2厅 精装,185,18828,金山桔园泰园,仓山,3,98.26,南北,2006,"['南北', '近地铁']"
新到群众路，05年商品房，国货小福 ，电梯大三房，无遮挡,243,20483,源利明珠,台江,3,118.64,南北,2005,"['南北', '满五年', '近地铁', '车位充足']"
通湖公寓 高楼层视野无遮挡 有电梯 商业配套成熟 近医院,288,38400,通湖公寓,鼓楼,3,75,西,2004,"['西', '满五年', '近地铁']"
"宝龙万象旁,精装电梯3房,端头三面采光,全明结构,拎包即住",208,23228,上海新苑,台江,3,89.55,南北,2013,"['南北', '满五年', '近地铁']"
送大花园! 业主重装送给你 很宜居的好社区 金茂悦 超宽楼距,240,24982,奥体金茂悦,仓山,3,96.07,南北,2020,"['南北', '满二年', '次新房']"
融信 城二期 3室2厅 南北,249,20223,融信第一城,仓山,3,123.13,南北,2006,"['南北', '满五年', '近地铁', '绿化率高']"
香开连天花园 高层 满二视野开阔 精装修 看房提前约,266,30474,首开中庚香开连天,晋安,3,87.29,南,2020,"['南', '满二年', '近地铁', '车位充足']"
2020年次新社区，地铁2号线旁端头三房两卫赠送一百多平露台,240,26444,金辉优步大道,晋安,3,90.76,东南,2020,"['东南', '有电梯', '近地铁', '车位充足']"
茶亭 大利嘉 国货小 福 电梯精装修大三房 南北通透,245,23155,红日花园,台江,3,105.81,南北,2002,"['南北', '满二年', '近地铁']"
五四北地铁口 带露台 家天下三木城 商品房 房东自住,210,21875,三木城A区,晋安,3,96,南北,2006,"['南北', '满二年', '近地铁']"
电梯居家四房，精装拎包入住，全明结构，端头全明，南北通透,267,23018,金帝天澜,鼓楼,4,116,南北,2016,"['南北', '唯一住房', '近地铁']"
世纪金辉一期， 南北通透 ，楼层好，精装修，户型好,205,21714,世纪金辉一期金辉东景C区,晋安,3,94.41,南北,2004,"['南北', '满二年', '近地铁']"
高层精装装大三房，拎包入住，采光视野好,260,30173,世茂璀璨天城(一期),晋安,3,86.17,南,2019,"['南', '满二年', '近地铁', '车位充足']"
紫金九号 高层毛坯3室2卫 亏本出售，房东善良寻有缘人,298,30580,大名城紫金九号,仓山,3,97.45,南北,2021,"['南北', '有电梯', '近地铁', '车位充足']"
金山 晓！地铁口TOD项目！一手现房 视野无遮挡 榕心映月,325,33488,榕心映月,仓山,3,97.05,南北,2022,"['南北', '房东直卖', '有电梯', '近地铁']"
福晟钱隆御景 医疗配套成熟 双卫格局 满二 商品住宅,239,21803,福晟钱隆御景,晋安,3,109.62,西南,2011,"['西南', '满二年']"
左海边，临福道，05年社区，居家3房，可拎包入住,206,22392,保福公寓,鼓楼,3,92,南北,2005,"['南北', '满二年']"
上藤地铁商品房社区电梯4房。,288,21458,城南名苑,仓山,4,134.22,西南,2006,"['西南', '房东直卖', '满二年', '近地铁']"
东二环泰禾 4号线地铁口 榕博 高层二房 精装修 满2,210,31112,保利香槟国际,晋安,2,67.5,南,2019,"['南', '满二年', '近地铁', '次新房']"
五里亭，电梯精装复式，3房，使用面积大，还有送书房,275,30634,金辉优步大道,晋安,3,89.77,南北,2020,"['南北', '满二年', '近地铁', '车位充足']"
宝龙苏宁对面电梯房东南户型业主急售120平，273万,273,22654,中利佳园,台江,3,120.51,南北,2006,"['南北', '房东直卖', '近地铁', '车位充足']"
降价30万，东街，一附小免接送，框架大三房，南北通透，拎包住,360,33402,东湖宾馆宿舍,鼓楼,3,107.78,南北,1997,"['南北', '满五年', '近地铁']"
榕心映月 电梯房 小三房 近地铁 南北通透 接送方便,345,35623,榕心映月,仓山,3,96.85,南北,2020,"['南北', '唯一住房', '近地铁', '车位充足']"
急售 花海公园东部办公区 旭辉江南赋 别墅高层人车分离 中层,209,23484,旭辉江南赋,仓山,3,89,南北,2020,"['南北', '有电梯', '近地铁', '次新房']"
西园新苑(一期) 小三房 高楼层视野好 交通便捷 满二,175,20260,西园新苑(一期),晋安,3,86.38,南北,2005,"['南北', '满二年', '近地铁']"
可谈！东泰禾旁 纯商品房地铁口 融侨物业 融侨悦城 近榕博,315,38136,融侨悦城,晋安,3,82.6,南北,2015,"['南北', '满二年', '近地铁', '车位充足']"
鲁能公馆一期 电梯高层视野好 地铁口3房 满两年,235,26882,鲁能公馆一期,晋安,3,87.42,南,2018,"['南', '满二年', '近地铁', '次新房']"
降价！省体五四路，东南全明结构4房，中层前塘集团分校，好停车,245,21338,安华苑,鼓楼,4,114.82,南北,2001,"['南北', '满五年', '近地铁']"
金辉天鹅湾 房源金辉天鹅湾 大2房,177,23014,金辉天鹅湾,仓山,2,76.91,南,2010,"['南', '满五年', '近地铁', '绿化率高']"
地铁口，使用面积大，复式楼三房，带露台，福马路大景城,179,24154,大景城,晋安,3,74.11,南北,2006,"['南北', '满五年', '近地铁']"
总价273万买金山晓三房，近距离金山晓,273,32118,紫竹苑,仓山,3,85,南北,2000,"['南北', '满二年', '近地铁']"
同善小区81.41平170万3室2厅2卫,170,20882,同善小区,仓山,3,81.41,南北,2004,"['南北', '满五年', '近地铁']"
兰庭湾 楼层 超值 便宜 超好,179,20176,兰庭湾,仓山,3,88.72,南北,2004,"['南北', '满二年', '近地铁']"
总价低 纯毛坯大三房 不沿街不靠路 三盛上东区 一梯一户,275,21561,三盛国际公园上东区,晋安,3,127.55,南北,2014,"['南北', '满二年', '近地铁']"
大三房 小区中心位置 双阳台双卫全明结构 视野无遮挡,329,24621,三盛国际公园长岛区,晋安,3,133.63,南北,2013,"['南北', '满二年', '近地铁', '绿化率高']"
次新社区，斗门茶园 茶园新苑中高层，低总价三房,205,22778,茶园新苑,晋安,3,90,南北,2016,"['南北', '满二年', '近地铁']"
时代旁 欣隆盛世4区 纯毛坯 3房2卫 看房随时 急售价格私,239,21750,欣隆盛花园四区,仓山,3,109.89,东南,2010,"['东南', '满二年', '近地铁']"
房东急售！价格可谈 阳光城大都会旁 D铁口 纯商中茵上城国际,255,21478,中茵上城国际,仓山,4,118.73,东南,2011,"['东南', '房东直卖', '唯一住房', '近地铁']"
降价 诚意出售！国货小 广安城端头居家大两房 低层,198,24533,广安城,台江,2,80.71,南北,2003,"['南北', '满二年', '近地铁']"
南二环白湖亭万达旁，业主破产为了留住18岁的女朋友 。,162,18320,国贸凤凰原,仓山,3,88.43,南,2018,"['南', '满二年', '近地铁', '车位充足']"
南二环丨国企现房丨白湖亭商圈丨3房2卫丨户型方正丨采光好,218,24653,国贸凤凰原,仓山,3,88.43,南,2020,"['南', '满二年', '近地铁', '车位充足']"
湖滨小 杨桥路近地铁口，高峰桥公交站，框架三房，南北通透,209,24890,西城公寓,鼓楼,3,83.97,南北,2003,"['南北', '满五年', '近地铁']"
有证！ 6万三叉街地铁口，滨海 三区，边户三房全有窗户,200,22399,滨海首府(三区),仓山,3,89.29,南北,2023,"['南北', '有电梯', '近地铁', '次新房']"
有电梯 中间好楼层 交通便捷 精装可拎包入住 刚需两居,262,30026,鲁能公馆一期,晋安,2,87.26,南北,2017,"['南北', '有电梯', '近地铁']"
五四温泉 外轮宿舍（福寿巷6号）三房305万,320,34043,外轮宿舍,鼓楼,3,94,南,1995,"['南', '房东直卖', '满五年', '近地铁']"
施程 九仲 学生街 新都汇对面 琴海湾 商品房 电梯高层三房,245,21827,琴海湾,仓山,3,112.25,东南,2008,"['东南', '满五年', '近地铁']"
融晟红郡临地铁 交通便捷 医疗配套成熟 商品房 南北通透,188,24097,融晟红郡,仓山,2,78.02,南北,2009,"['南北', '近地铁']"
泰禾红树林丨精装3房2卫进装修丨业主诚心出售可议丨 动静分区,225,23937,泰禾红树林(1期),仓山,3,94,南北,2012,"['南北', '满二年', '车位充足']"
泰禾红树林复式楼精装三房电梯高层看江南北通透拎包入住,189,21017,泰禾红树林(1期),仓山,3,89.93,南北,2013,"['南北', '满二年', '车位充足']"
融信澜天 高楼层视野无遮挡 双卫生间 近地铁 商品房,195,22233,融信澜天,晋安,3,87.71,东南,2013,"['东南', '有电梯']"
浮村佳园 精装好房 满二 高楼层视野好 西南朝向 电梯房,189,20345,浮村佳园,晋安,3,92.9,西南,2011,"['西南', '满二年']"
满二 南北通透 产权清晰 近医院 诚心出售 价格可议,180,19864,金海公寓,鼓楼,3,90.62,南北,2004,"['南北', '满二年']"
光明港公园，江滨，08年花园社区电梯3房一梯两户，送露台,203,20928,光明港苑,台江,3,97,南北,2008,"['南北', '满二年', '近地铁']"
中海寰宇天下中层两房，品质小区 精装修，满二 性价比高,153,20808,中海寰宇天下,闽侯,2,73.53,南,2016,"['南', '满二年', '近地铁']"
仓山万达广场B1区 近医院 商业配套成熟 双卫生间,253,21970,仓山万达广场B1区,仓山,3,115.16,东南,2012,"['东南', '满二年', '近地铁']"
新出，地 铁旁，融信宽域通透户型精装三房，价格236万,236,22942,融信宽域,仓山,3,102.87,东西,2010,"['东西', '满五年', '近地铁']"
新！省电影制片厂边，居家框架大三房，楼层好，社区清楚，诚售!,268,24966,柳河花园,鼓楼,3,107.35,南北,1999,"['南北', '满五年', '近地铁']"
融信 地铁口旁 高端楼盘 纯商品房 业主诚意出售 总价低！,210,23334,融信双杭城别院,台江,3,90,南北,2022,"['南北', '满五年', '近地铁', '次新房']"
左海梅峰，两梯两户，电梯高层，精装望江房，南北通透，文博延安,345,25102,大儒世家藏珑,鼓楼,3,137.44,南北,2010,"['南北', '满二年', '近地铁']"
急售可谈 人车分流社区 电梯精装四房 南北通透 卫浴全明结构,258,20266,美林湾(东区),仓山,4,127.31,南北,2009,"['南北', '满五年', '近地铁', '车位充足']"
仓山万达，房东看满意房子，降价出售，总价178万金辉枫尚,178,22167,金辉枫尚,仓山,2,80.3,南北,2009,"['南北', '满二年', '近地铁']"
精装修 茶园山海员新村 3室2厅 南北通透 满二 房东急置换,301.5,31737,茶园山海员新村,鼓楼,3,95,南北,1999,"['南北', '满二年', '近地铁']"
杨桥花园，框架大三房，南北通透，采光充足,310,31959,杨桥花园,鼓楼,3,97,南北,1999,"['南北', '满五年', '近地铁']"
正祥一品新筑 三房两卫，全明结构，格局清楚带车位,259,24254,正祥一品新筑,仓山,3,106.79,南,2008,"['南', '满二年', '近地铁']"
五四路温泉小 省政协宿舍（温泉） 居家3房 管理好 采光足。,299,30825,福建省政协单位宿舍,鼓楼,3,97,南北,1995,"['南北', '满五年', '近地铁']"
温泉小 单位宿舍 框架三房 诚意出售,338,35419,省测绘局宿舍(温泉路),鼓楼,3,95.43,南北,1998,"['南北', '满二年', '近地铁']"
公园左岸 3室2厅 南，带车位价格34 ，看房联系啊房,320,36530,公园左岸,晋安,3,87.6,南,2023,"['南', '有电梯', '近地铁', '次新房']"
绿城柳岸晓风 南北通透 满二 小三居 次新小区 双卫,219,20218,绿城柳岸晓风,晋安,3,108.32,南北,2021,"['南北', '满二年', '次新房']"
"中山 小,十九 中,自住精装3房,接送方便",305,37196,七星井新村,鼓楼,3,82,南北,1998,"['南北', '满二年', '近地铁']"
霞镜新城三区 80平 刚需小三居 高楼层采光充足 临地铁,176,22000,霞镜新城三区,仓山,3,80,南北,2021,"['南北', '有电梯', '近地铁', '次新房']"
五四北泰禾，地铁首站，电梯中层精装修，四房拎包入住！,228,20530,君临香格里C区,晋安,4,111.06,东南,2014,"['东南', '满二年', '近地铁']"
紫阳地铁口，05年贴砖社区，端头大3房，采光视野好,252,20160,福临东城,晋安,3,125,东南,2002,"['东南', '满二年', '近地铁']"
中海寰宇天下豪华装修全实木壁柜天然大理石餐桌茶几芝华仕沙发床,238,21426,中海寰宇天下,闽侯,3,111.08,东南,2016,"['东南', '满二年', '近地铁']"
元洪花园 电梯两房 临近协和附 一 二 附 延安 中 南门兜,225,25000,元洪花园,鼓楼,2,90,西南,1998,"['西南', '近地铁']"
阳光天地旁 2019年纯商品房社区 正祥奥园康都 拎包入住,310,33799,正祥奥园康都,仓山,3,91.72,南北,2019,"['南北', '满二年', '近地铁', '车位充足']"
鼓楼别墅社区 大儒世家电梯居家三房 临近文博 延安中 软件园,310,32523,大儒世家归壹墅绿园,鼓楼,3,95.32,南北,2011,"['南北', '满五年', '近地铁', '车位充足']"
白马南路 已经装好电梯 贴砖社区 精装3房外扩6平,248,24078,天马新村,台江,3,103,西南,2000,"['西南', '满二年', '近地铁']"
软件园 低容积 医疗配套成熟 南向采光好 满五 有电梯,222,24343,丞相坊小区,鼓楼,3,91.2,南,2010,"['南', '满五年']"
保利新出！三期高层，复式大四房，视野开阔，前后无遮挡，有车位,368,30667,保利香槟国际,晋安,4,120,南,2013,"['南', '满五年', '近地铁']"
大儒世家，苏州园林社区，精装大三房，全明户型，鼓楼庭院,226,24336,鼓楼庭院,鼓楼,3,92.87,南北,2008,"['南北', '满五年']"
鼓楼左海铜盘，五凤兰庭，商品房，居家三房，南北通透，不沿街,193,23386,五凤兰庭一期,鼓楼,3,82.53,南北,2002,"['南北', '满五年']"
金辉淮安半岛泊郡 产权清晰 小三房 带电梯 小区新 板楼,239,22241,金辉淮安半岛泊郡,仓山,3,107.46,东南,2016,"['东南', '满二年', '车位充足']"
省体 钱塘小 精装修端头 3 房 拎包入住 满 5 年,263,24352,泰馨公寓,鼓楼,3,108,南北,2005,"['南北', '满五年', '近地铁']"
茶亭地铁口 附一医院白马河 2013年电梯3房 乌山小接送房,186,20626,上海新苑,台江,3,90.18,南北,2013,"['南北', '满五年', '近地铁']"
三江岚隽90.38平209万3室2厅2卫,209,23125,三江岚隽,仓山,3,90.38,南北,2020,"['南北', '有电梯', '近地铁', '次新房']"
泰禾名城 3室2厅 南北,189,21236,泰禾名城,长乐,3,89,南北,2017,"['南北', '满二年']"
大都会C区90平米自住精装3房 电梯高层端头全明户型 满二,188,20843,阳光城大都会,仓山,3,90.2,南北,2019,"['南北', '满二年', '近地铁', '次新房']"
急！换房中亭街文化宫达道茶亭群升国际旁 台三福八 精装3房,280,32942,台江区委机关宿舍,台江,3,85,南北,2003,"['南北', '满二年', '近地铁']"
三木城A区 双卫格局 满二 朝南 刚需小三居 有电梯,230,24112,三木城A区,晋安,3,95.39,南,2012,"['南', '满二年', '近地铁']"
新，西湖旁，电梯3房，总价259万， 路天怡花园，西峰18,259,30117,天怡花园,鼓楼,3,86,南北,1998,"['南北', '满五年', '近地铁']"
急急！找我内部价，金山江山云出，带花园，一口180，高性价比,217,24383,旭辉江山云出,仓山,3,89,南北,2019,"['南北', '满二年', '车位充足']"
温泉小，永安街新村，98平，框架三房，电梯高层，南北通透,320,32654,永安新村,鼓楼,3,98,南北,1998,"['南北', '满二年', '近地铁']"
五一广场 华侨小 精装修两房 玉融边 水部站 近,198,24403,华福新村,鼓楼,2,81.14,南北,1998,"['南北', '满五年', '近地铁']"
左海生活区，左海公园正对面，毛坯大三房！自由发挥！看房有锁！,235,22640,梅海园,鼓楼,3,103.8,南北,2005,"['南北', '满五年', '近地铁']"
电梯高层近地铁 107平3房 采光视野好 成熟商圈 保利香槟,298,27601,保利香槟国际,晋安,3,107.97,西南,2016,"['西南', '唯一住房', '近地铁']"
来电享渠道团购价 厦门国企 金山奥体旁 双主卧 大三房,210,24006,水晶榕著,仓山,3,87.48,南北,2020,"['南北', '车位充足']"
急售 单价2.1万 紫阳地铁口 和源居 3室2厅 毛坯,272,21783,和源居,晋安,3,124.87,南北,2009,"['南北', '近地铁']"
晋安区委2005商品房，大3房，单价,188,20624,佳馨苑,晋安,3,91.16,南北,2005,"['南北', '满五年', '近地铁', '车位充足']"
居家装修电梯2号线直达标准三房,205,21185,盛天现代城,晋安,3,96.77,南北,2006,"['南北', '满二年', '近地铁']"
泰禾红峪 双卫格局 南北通透 商业配套成熟 临地铁 满五,263,23236,泰禾红峪,仓山,3,113.19,南北,2013,"['南北', '满二年', '近地铁']"
三叉街电梯三房居家端头户型包满意,195,20033,东兴新苑,仓山,3,97.34,南,2012,"['南', '满五年', '近地铁']"
直降10万 急售精装3房首期30万低层上下杭景区达道口中亭街,141,22702,苍霞新城嘉惠苑,台江,3,62.11,南北,2003,"['南北', '满二年', '近地铁']"
霞镜新城三区 3室2厅 南,170,21795,霞镜新城三区,仓山,3,78,南,2008,"['南', '有电梯', '近地铁']"
井大小福 ，居家中层，户型方正，三房性价比高,320,40000,开元新村,鼓楼,3,80,南北,1996,"['南北', '满五年', '近地铁']"
五一路蒙古营，一附小贴砖社区，天成公寓，87平大3房 349,320,36782,天成公寓,鼓楼,3,87,南北,1999,"['南北', '满五年', '近地铁', '车位充足']"
省体旁 屏山 树兜地铁口 省农行宿舍 3房2卫 230万,230,19190,省农行融侨路41号单位宿舍,鼓楼,3,119.86,南北,2000,"['南北', '满二年', '近地铁']"
地铁金山站，金山佳园南北通透，采光好，诚意出售，价钱可以商量,360,34254,金山佳园,仓山,3,105.1,南北,2004,"['南北', '满五年', '近地铁']"
中海寰宇天下 111平大三房两厅两卫，价格合适看房提前约,225,20271,中海寰宇天下,闽侯,3,111,南北,2016,"['南北', '有电梯', '近地铁']"
五一广场 元洪花园 高层电梯 两房朝南 临近南门水部地 铁,222,24667,元洪花园,鼓楼,2,90,南,1990,"['南', '近地铁']"
仓山万达！高层两房，视野无遮挡！单价不到两万！看房方便,170,19702,仓山万达广场B1区,仓山,2,86.29,南北,2015,"['南北', '满二年', '近地铁']"
东街口，仙塔街，五一北路，单位宿舍，4房，省立医院，接送房,180,22024,八一服务社宿舍,鼓楼,4,81.73,南北,1993,"['南北', '满五年', '近地铁']"
楼层好 电梯房 正规商品房 次新房 近地铁 刚需小三居,180,20101,榕发夏荷郡,晋安,3,89.55,南,2021,"['南', '有电梯', '次新房']"
商业配套齐全 满二 带电梯 商品房 南北通透 双卫 明厨明卫,230,20982,福晟钱隆御景,晋安,3,109.62,南北,2011,"['南北', '满二年']"
时代美景 3房 中层 居家装 沃尔玛对面 近24号地铁口,193,21277,时代美景,晋安,3,90.71,南北,2005,"['南北', '满五年', '近地铁']"
金山大润发旁 龙祥小区 精装 2房 可拎包即住,180,21952,龙祥小区,仓山,2,82,南,2013,"['南', '满二年', '近地铁']"
新出！纯毛坯两房！保利香槟国际，楼层适中，头排无遮挡，采光足,228,35306,保利香槟国际,晋安,2,64.58,南,2013,"['南', '满五年', '近地铁']"
福晟钱隆金山 中间好楼层 精装3房，万达商圈 南北通透,182,22032,福晟钱隆金山,仓山,3,82.61,南北,2010,"['南北', '近地铁']"
看房方便 上下杭景区 精装四房 南北通透 双层复式 带露台,212,21926,苍霞新城嘉华苑,台江,4,96.69,南北,2000,"['南北', '满二年', '近地铁']"
水晶榕著 二环边 低总价 纯商社区 现房 三房两厅两卫,210,24006,水晶榕著,仓山,3,87.48,南北,2021,"['南北', '有电梯', '车位充足']"
新榕金城湾，精装，可塑性强，小区门口就是地铁2号线,165,23629,新榕金城湾,仓山,2,69.83,东南,2015,"['东南', '满二年', '近地铁']"
临地铁 泰禾广场 亿力名居 东端户大三房 双卫格局 南北通透,310,22458,亿力名居,晋安,3,138.04,南北,2006,"['南北', '满五年', '近地铁', '车位充足']"
